聚类种类,第一学年-次消费均价,第一学年-全年消费次数,第一学年-早餐消费次数,第一学年-中餐消费次数,第一学年-晚餐消费次数,第一学年-早餐消费均价,第一学年-中餐消费均价,第一学年-晚餐消费均价,第一学年-全年消费波动性,第一学年-日消费波动性,第一学年-最高值,第一学年-消费极差,第一学年-上四分位点,第一学年-下四分位点
2,1134.6341463414635,533.0,112.0,220.0,201.0,638.0357142857143,1409.8181818181818,1110.1492537313434,726.3595513720362,596.108563005213,3700.0,3620.0,1500.0,700.0
1,1255.8269720101782,393.0,81.0,168.0,144.0,507.1604938271605,1604.107142857143,1270.625,833.9018838844995,624.584987899451,5600.0,5450.0,1500.0,700.0
2,1033.91452991453,585.0,153.0,232.0,200.0,543.7254901960785,1169.5689655172414,1251.55,679.9092551292808,608.78066577496,4170.0,4020.0,1300.0,600.0
2,1159.1484716157206,458.0,75.0,202.0,181.0,860.1333333333333,1246.8316831683169,1185.1933701657458,709.0407909747846,661.354278951451,3720.0,3570.0,1350.0,850.0
1,877.395498392283,311.0,147.0,75.0,89.0,763.6734693877551,1106.8,871.9101123595506,616.3198013390879,363.733175808671,5400.0,5300.0,1022.5,400.0
1,1171.0687022900763,655.0,220.0,219.0,216.0,683.0909090909091,1419.2237442922374,1416.4814814814815,767.9128789272564,595.399515076988,4860.0,4760.0,1430.0,762.5
1,820.3950437317784,686.0,196.0,253.0,237.0,517.7091836734694,973.6363636363636,907.1308016877637,531.1005812557003,441.843119717825,4640.0,4540.0,1000.0,550.0
2,933.394777265745,651.0,206.0,215.0,230.0,551.5533980582525,1283.6279069767443,948.0,580.6054343967934,569.701420911926,3600.0,3450.0,1200.0,550.0
2,851.2121212121212,495.0,175.0,220.0,100.0,606.4571428571429,1126.3636363636363,674.2,537.3760993005378,531.701130759042,2950.0,2830.0,1100.0,470.0
2,928.3908045977012,522.0,181.0,185.0,156.0,575.3038674033149,1137.1351351351352,1090.5128205128206,609.9159220130646,540.876358397449,3720.0,3620.0,1200.0,450.0
2,1183.7349397590363,415.0,72.0,167.0,176.0,795.0,1318.2035928143712,1215.1704545454545,710.1288839604864,620.98237383213,4320.0,4220.0,1390.0,857.5
1,1171.0135135135135,444.0,92.0,177.0,175.0,675.1086956521739,1349.09604519774,1251.6,765.1197365881823,626.601636233092,4800.0,4770.0,1425.0,765.0
2,940.0857142857143,350.0,114.0,129.0,107.0,673.421052631579,1285.5038759689924,807.7570093457944,589.6088947247551,438.773790069906,3470.0,3320.0,1200.0,500.0
2,940.0163666121113,611.0,191.0,223.0,197.0,481.62303664921467,1156.3677130044844,1139.5431472081218,616.2207849870047,497.751227096444,4150.0,4000.0,1100.0,550.0
2,1036.01652892562,605.0,195.0,222.0,188.0,822.7179487179487,1205.2252252252251,1057.4468085106382,602.6646428725084,585.347113926383,3400.0,3250.0,1200.0,700.0
3,1480.9615384615386,520.0,132.0,188.0,200.0,941.969696969697,1728.776595744681,1603.75,1010.1681527508351,828.102979378815,7400.0,7250.0,1750.0,950.0
1,806.490765171504,379.0,104.0,156.0,119.0,609.6153846153846,1066.2179487179487,638.0672268907563,708.4457139788766,431.706813640509,5500.0,5400.0,900.0,300.0
2,1033.7078651685392,89.0,36.0,26.0,27.0,836.3888888888889,1276.5384615384614,1062.962962962963,351.44084375822,98.9183625108605,2750.0,2600.0,1335.0,657.5
2,1002.9140461215933,477.0,162.0,148.0,167.0,772.0370370370371,1107.2972972972973,1134.37125748503,623.450590864278,512.474954689639,3270.0,3170.0,1300.0,600.0
2,702.5925925925926,405.0,80.0,169.0,156.0,401.875,863.3136094674556,682.6923076923077,430.7209279898064,341.702169672485,4150.0,4050.0,900.0,500.0
1,1059.8237885462554,454.0,98.0,211.0,145.0,786.8367346938776,1155.9715639810427,1104.4137931034484,664.501604415429,556.736100519305,4700.0,4670.0,1200.0,750.0
1,1264.0251572327045,318.0,46.0,134.0,138.0,661.5217391304348,1262.0149253731342,1466.8115942028985,813.7784985259655,518.722636252508,5820.0,5670.0,1550.0,700.0
1,1067.416829745597,511.0,156.0,180.0,175.0,727.0512820512821,1202.0555555555557,1232.3428571428572,731.5057239848734,561.494432870202,5840.0,5690.0,1142.5,700.0
2,609.0909090909091,495.0,137.0,204.0,154.0,456.42335766423355,674.5588235294117,658.1818181818181,368.7291321717456,300.192399287738,2700.0,2550.0,700.0,450.0
2,701.8125,640.0,169.0,238.0,233.0,313.6094674556213,913.2773109243698,767.381974248927,562.3498549787276,431.053963429556,4300.0,4200.0,800.0,350.0
3,900.1222651222652,777.0,267.0,258.0,252.0,633.7640449438202,1019.0697674418604,1060.5555555555557,610.99087166505,456.972970666951,6940.0,6820.0,1050.0,600.0
2,857.6481835564053,523.0,190.0,174.0,159.0,443.94736842105266,1162.2988505747126,1018.6163522012579,609.0742738756784,473.800085350447,4000.0,3940.0,1100.0,450.0
2,830.8298755186722,482.0,138.0,181.0,163.0,636.6666666666666,1034.6961325966852,768.8343558282209,540.6788734684399,394.096144163334,3400.0,3300.0,1000.0,500.0
2,875.4152823920266,301.0,140.0,92.0,69.0,655.4285714285714,1183.9130434782608,910.4347826086956,522.8957553687376,372.266035678851,3200.0,3050.0,1100.0,500.0
3,778.3030303030303,330.0,99.0,136.0,95.0,496.7676767676768,956.1764705882352,817.0526315789474,555.4328451235682,327.673242601904,7200.0,7100.0,1000.0,400.0
2,802.5497287522604,553.0,171.0,205.0,177.0,463.39181286549706,1095.121951219512,791.3559322033898,541.3472499504669,452.727911621677,3780.0,3680.0,1000.0,500.0
2,1161.3623978201636,367.0,94.0,145.0,128.0,641.3829787234042,1270.0689655172414,1420.078125,748.6096059565581,547.639218528801,3800.0,3700.0,1600.0,600.0
1,1215.055679287305,449.0,132.0,171.0,146.0,722.1969696969697,1496.3157894736842,1331.2328767123288,811.1477404026866,621.744659828559,4400.0,4300.0,1562.5,650.0
2,857.8797595190381,499.0,125.0,211.0,163.0,401.4,1049.7962085308056,959.5092024539878,544.9231577977449,476.902410180015,3550.0,3450.0,1100.0,412.5
2,985.559265442404,599.0,147.0,240.0,212.0,406.1904761904762,1235.3333333333333,1104.5283018867924,658.9636656611934,604.450644339595,4000.0,3900.0,1300.0,500.0
1,872.0535714285714,336.0,142.0,89.0,105.0,477.2535211267606,1068.5393258426966,1239.4285714285713,576.0794552320901,373.663492609736,5360.0,5210.0,1000.0,375.0
1,1108.5421686746988,581.0,165.0,215.0,201.0,619.1090909090909,1304.2325581395348,1300.995024875622,763.9538447992059,649.775259357537,5500.0,5400.0,1300.0,700.0
2,962.311320754717,212.0,47.0,95.0,70.0,611.7021276595744,1094.9473684210527,1017.7142857142857,505.002222762202,277.747051108515,3480.0,3380.0,1250.0,600.0
2,1039.9357601713061,467.0,112.0,198.0,157.0,698.3035714285714,1146.4141414141413,1149.3630573248408,648.6898441691546,521.295247013009,3450.0,3350.0,1300.0,700.0
1,974.7679324894515,237.0,62.0,117.0,58.0,635.0,1184.6153846153845,914.6551724137931,533.5806483157014,333.885696643085,4800.0,4700.0,1200.0,600.0
1,1445.3422370617695,599.0,145.0,228.0,226.0,677.6551724137931,1720.219298245614,1660.575221238938,1000.8436552483884,872.744407672947,5400.0,5300.0,2000.0,800.0
2,619.7341772151899,790.0,264.0,266.0,260.0,416.70454545454544,677.406015037594,766.8846153846154,340.8396758748007,262.207180238223,3320.0,3220.0,650.0,450.0
1,1095.5555555555557,288.0,91.0,120.0,77.0,660.7692307692307,1365.4166666666667,1188.8311688311687,680.165305718449,411.229458500849,6300.0,6240.0,1300.0,600.0
1,968.0275229357799,327.0,111.0,102.0,114.0,537.3873873873874,1243.3823529411766,1140.9649122807018,619.384637606553,358.203594286799,4600.0,4500.0,1400.0,450.0
2,1050.6818181818182,176.0,35.0,52.0,89.0,552.2857142857143,1125.3846153846155,1203.0337078651685,492.3963091519434,276.119867169773,2950.0,2850.0,1400.0,610.0
1,1327.9280303030303,528.0,154.0,234.0,140.0,1214.7402597402597,1455.042735042735,1239.9714285714285,899.2613555457817,760.611828895273,5800.0,5600.0,1800.0,700.0
2,874.2825688073394,545.0,170.0,189.0,186.0,594.4117647058823,1072.116402116402,929.0537634408602,576.1067708567922,450.741982219975,3870.0,3840.0,1000.0,550.0
3,1013.5112359550562,534.0,149.0,220.0,165.0,572.1744966442953,1411.4136363636364,881.5151515151515,708.1646152253703,603.468708377048,7700.0,7600.0,1300.0,550.0
1,1147.4750830564783,301.0,110.0,90.0,101.0,858.3636363636364,1118.5555555555557,1488.118811881188,708.2122112628005,372.242217206039,6700.0,6600.0,1522.5,517.5
2,1356.7777777777778,540.0,119.0,218.0,203.0,831.2605042016806,1438.7155963302753,1576.847290640394,855.2005383530743,713.801190023779,4100.0,3950.0,1700.0,900.0
1,1058.9445910290237,379.0,89.0,149.0,141.0,627.8651685393259,1247.248322147651,1132.0567375886526,678.1079891348417,483.823617088912,4600.0,4570.0,1300.0,600.0
2,902.9968701095462,639.0,163.0,228.0,248.0,433.7730061349693,1036.9298245614036,1088.266129032258,576.0117626488526,518.876465196659,4150.0,4000.0,1050.0,600.0
2,1016.2126245847176,602.0,147.0,235.0,220.0,491.9047619047619,1284.8510638297873,1079.590909090909,653.8477549296309,619.050891294873,3500.0,3400.0,1300.0,620.0
2,858.2745591939547,794.0,269.0,262.0,263.0,451.2639405204461,1087.7862595419847,1045.9315589353612,564.2469653421342,451.678039303435,3600.0,3450.0,1100.0,500.0
1,1658.6448598130842,428.0,85.0,187.0,156.0,676.7058823529412,1858.288770053476,1954.3589743589744,1094.164129778075,932.709039867503,6200.0,6100.0,2200.0,900.0
3,1082.925045703839,547.0,165.0,208.0,174.0,751.3939393939394,1281.4903846153845,1159.942528735632,768.8086876224155,550.906823898324,7750.0,7600.0,1300.0,650.0
2,900.4761904761905,546.0,169.0,203.0,174.0,524.3195266272189,1155.4187192118227,968.3908045977012,604.6198866941901,494.263779404864,4290.0,4190.0,1160.0,600.0
3,1928.2251082251082,231.0,29.0,93.0,109.0,767.9310344827586,2139.6774193548385,2056.5137614678897,1071.0125822562845,702.262369436217,9910.0,9760.0,2400.0,1000.0
3,1015.685618729097,299.0,140.0,84.0,75.0,593.5,1525.4761904761904,1232.8,719.8618560804202,435.565780439078,7200.0,7100.0,1192.5,450.0
3,1306.5982404692081,341.0,91.0,132.0,118.0,974.6153846153846,1526.439393939394,1316.6949152542372,830.4899789607757,618.729419496886,7800.0,7780.0,1800.0,700.0
2,781.4518072289156,332.0,133.0,172.0,27.0,542.4812030075188,1011.4069767441861,493.7037037037037,441.8781119385558,380.831573409702,2000.0,1850.0,1050.0,500.0
1,1424.2319749216301,319.0,51.0,142.0,126.0,715.8823529411765,1565.3521126760563,1551.904761904762,843.3220892152866,659.690834777551,4800.0,4750.0,1975.0,850.0
2,1009.4189602446484,654.0,185.0,234.0,235.0,659.8756756756757,971.8076923076923,1322.0425531914893,634.4108873240622,561.753105549334,3690.0,3540.0,1330.0,600.0
1,1014.7847222222222,576.0,194.0,204.0,178.0,650.3092783505155,1283.3382352941176,1104.241573033708,687.1899984416644,583.131436322266,4600.0,4500.0,1250.0,600.0
2,926.6890380313199,447.0,208.0,142.0,97.0,713.0288461538462,1219.5774647887324,956.0824742268042,631.9056029607224,476.208861235426,3550.0,3500.0,1200.0,500.0
3,969.7125645438898,581.0,250.0,165.0,166.0,833.76,1236.7454545454545,909.0361445783133,635.3595369649248,527.65926807209,6950.0,6830.0,1100.0,650.0
2,901.4822134387351,253.0,79.0,128.0,46.0,576.7721518987341,1095.46875,919.3478260869565,509.716152702307,346.085904855381,3100.0,3050.0,1177.5,500.0
2,790.1438848920864,278.0,72.0,105.0,101.0,481.80555555555554,932.0952380952381,862.3762376237623,460.3294200401212,303.05000765808,3700.0,3550.0,1000.0,450.0
2,982.3765432098766,648.0,187.0,232.0,229.0,726.096256684492,1117.6724137931035,1054.585152838428,582.4101833849328,518.894504140961,3800.0,3600.0,1150.0,700.0
2,829.524024024024,666.0,181.0,242.0,243.0,503.44198895027625,982.5206611570248,920.0411522633744,504.75710330099923,444.790201840428,3100.0,3000.0,1000.0,500.0
2,988.319391634981,526.0,153.0,220.0,153.0,805.4901960784314,1271.0727272727272,764.5751633986928,605.0998787140745,554.34751919489,3640.0,3590.0,1200.0,700.0
2,994.2166344294004,517.0,159.0,209.0,149.0,558.3647798742138,1185.311004784689,1191.275167785235,613.3383976054605,539.352252974476,3550.0,3400.0,1300.0,600.0
2,859.7172619047619,672.0,213.0,235.0,224.0,528.9671361502348,954.5531914893617,1074.732142857143,550.0972014404845,403.372990365673,3900.0,3800.0,1000.0,550.0
2,1201.1943793911007,427.0,106.0,169.0,152.0,794.622641509434,1351.5976331360946,1317.5,745.5500428367666,568.912936009027,4120.0,3920.0,1487.5,800.0
2,800.5106382978723,705.0,282.0,272.0,151.0,673.5106382978723,956.6176470588235,756.4900662251656,420.8287424611426,399.48054647639,3950.0,3850.0,900.0,600.0
2,1017.7955271565495,313.0,74.0,146.0,93.0,681.6216216216217,1156.5068493150684,1067.52688172043,590.2520031865229,409.109417614336,4350.0,4200.0,1212.5,600.0
2,1016.9090909090909,495.0,144.0,194.0,157.0,553.2638888888889,1281.6494845360826,1115.031847133758,681.250749150282,556.559106241478,4060.0,3960.0,1397.5,500.0
2,1085.6774193548388,310.0,59.0,130.0,121.0,699.6610169491526,1210.8461538461538,1139.4214876033059,611.8528345292609,437.45633967232,3500.0,3400.0,1300.0,750.0
2,747.3094170403588,223.0,43.0,104.0,76.0,468.6046511627907,896.7307692307693,700.5263157894736,397.6118306492802,247.760747820575,2600.0,2500.0,972.5,462.5
1,1159.2110874200425,469.0,129.0,182.0,158.0,761.0077519379845,1320.8241758241759,1298.1645569620252,740.5234041018086,561.726044518538,5020.0,4820.0,1350.0,800.0
2,951.9349593495934,615.0,131.0,237.0,247.0,620.3816793893129,1001.0548523206751,1080.6477732793521,605.3671994946992,530.699247347022,3900.0,3830.0,1100.0,600.0
2,979.9566160520608,461.0,164.0,157.0,140.0,694.2682926829268,1167.1974522292994,1104.642857142857,618.1774393504381,488.156757293386,4400.0,4250.0,1200.0,600.0
2,726.6315789473684,570.0,241.0,148.0,181.0,442.73858921161826,978.0405405405405,899.060773480663,444.8305601332132,376.339853757492,2150.0,2050.0,1000.0,500.0
2,804.8122065727699,426.0,177.0,130.0,119.0,561.4124293785311,960.1538461538462,997.1428571428571,497.1584765748286,358.764360684499,2800.0,2700.0,1000.0,520.0
2,806.511879049676,463.0,186.0,194.0,83.0,518.5752688172043,1124.0721649484535,709.5180722891566,553.9700760308731,458.199679784511,3800.0,3700.0,1000.0,500.0
2,1053.6893203883494,515.0,149.0,190.0,176.0,614.5637583892617,1312.3684210526317,1146.1931818181818,693.6683609392659,533.454973928594,3870.0,3720.0,1300.0,600.0
3,1307.4193548387098,341.0,79.0,144.0,118.0,831.6455696202531,1573.6805555555557,1301.0169491525423,852.7241466381712,617.971636487698,7100.0,7000.0,1712.5,700.0
2,803.1779661016949,472.0,180.0,146.0,146.0,656.3888888888889,950.6164383561644,836.7123287671233,494.10938176183174,359.470895320622,2950.0,2850.0,1000.0,550.0
2,724.7554347826087,552.0,197.0,175.0,180.0,512.2842639593908,898.3142857142857,788.5555555555555,538.05144331336,378.967764800856,4100.0,3980.0,900.0,400.0
3,1249.018556701031,485.0,153.0,166.0,166.0,698.3006535947712,1521.3493975903614,1484.2771084337348,901.7191466831305,691.080970435627,7200.0,7050.0,1652.5,600.0
2,1039.2307692307693,494.0,87.0,221.0,186.0,568.1609195402299,1185.79185520362,1085.4301075268818,666.6921910337041,604.623429172044,4200.0,4000.0,1300.0,600.0
1,1276.933638443936,437.0,109.0,186.0,142.0,745.045871559633,1507.2043010752689,1383.5915492957747,796.8427110298943,622.233444841184,4400.0,4250.0,1600.0,800.0
2,875.2,175.0,39.0,84.0,52.0,622.3076923076923,1064.1666666666667,759.6153846153846,441.90413291203754,230.510445359045,4000.0,3850.0,1100.0,400.0
1,682.0436507936508,252.0,134.0,57.0,61.0,513.6194029850747,953.859649122807,798.0327868852459,414.64542563591704,228.405946284963,4800.0,4710.0,800.0,400.0
2,804.6850393700787,254.0,133.0,70.0,51.0,582.781954887218,1129.142857142857,938.0392156862745,455.05183939279755,276.405066092944,3330.0,3230.0,1000.0,500.0
2,920.4863813229572,514.0,186.0,168.0,160.0,602.6344086021505,1062.6785714285713,1140.6875,593.4630984442881,465.140118650714,4100.0,4040.0,1100.0,600.0
1,1000.820895522388,402.0,75.0,161.0,166.0,571.0666666666667,1128.944099378882,1070.7228915662652,617.6959129730437,464.363064814511,5300.0,5110.0,1200.0,600.0
2,874.2857142857143,14.0,5.0,6.0,3.0,630.0,1075.0,880.0,124.55225404129571,17.7185958504105,1750.0,1710.0,1300.0,500.0
2,770.5381165919282,669.0,183.0,247.0,239.0,423.1693989071038,828.7044534412955,976.4016736401674,456.89674613574425,400.8447076,2600.0,2500.0,962.5,500.0
1,1281.3793103448277,377.0,138.0,122.0,117.0,916.8840579710145,1510.2459016393443,1472.6495726495727,842.6414022068479,598.004327226014,5500.0,5490.0,1600.0,700.0
1,1091.8834080717488,446.0,111.0,166.0,169.0,650.9009009009009,1293.6746987951808,1183.3136094674555,720.2215906775256,579.415329190606,6400.0,6300.0,1300.0,650.0
1,1180.5208333333333,480.0,66.0,210.0,204.0,579.8484848484849,1233.2380952380952,1320.5882352941176,756.1597404608824,667.192649948523,6300.0,6180.0,1450.0,800.0
3,1117.1473354231975,319.0,79.0,121.0,119.0,695.9493670886076,1258.595041322314,1252.9411764705883,755.0506579280733,448.948945647294,6800.0,6650.0,1300.0,552.5
1,1398.7417475728155,515.0,108.0,204.0,203.0,691.574074074074,1629.8039215686274,1542.768472906404,940.4162511192693,792.256591290709,6280.0,6180.0,1600.0,900.0
2,865.655487804878,328.0,98.0,129.0,101.0,567.295918367347,915.1937984496124,1091.881188118812,499.6004155670925,355.785327619237,3000.0,2850.0,1050.0,550.0
1,1140.4152249134947,289.0,76.0,144.0,69.0,778.5526315789474,1357.2916666666667,1086.376811594203,713.5019731146542,463.149442604005,5600.0,5500.0,1500.0,550.0
2,1119.3485915492959,568.0,181.0,211.0,176.0,701.7127071823204,1334.7867298578199,1290.5681818181818,749.6543505455879,652.867060971567,4200.0,4100.0,1400.0,700.0
2,870.8591549295775,284.0,154.0,77.0,53.0,635.9350649350649,1147.2727272727273,1151.8867924528302,571.1072681709842,340.129627165307,3990.0,3980.0,1050.0,400.0
1,1026.7086330935251,278.0,69.0,118.0,91.0,591.5217391304348,1228.3050847457628,1095.2747252747254,617.2591430765312,379.922868309289,4520.0,4420.0,1200.0,550.0
1,1091.3980582524273,515.0,100.0,217.0,198.0,605.7,1226.958525345622,1188.1313131313132,758.1664809243063,610.174070582213,6600.0,6400.0,1200.0,600.0
2,1072.846715328467,685.0,163.0,243.0,279.0,778.8343558282209,1045.0617283950617,1268.8172043010752,609.4679419608059,642.794110511847,3150.0,3000.0,1400.0,837.5
